,node,type
136,http://www.wikidata.org/entity/Q5094115,human
137,http://www.wikidata.org/entity/Q5522961,human
138,http://www.wikidata.org/entity/Q1181049,human
139,http://www.wikidata.org/entity/Q1138657,human
140,http://www.wikidata.org/entity/Q1065376,human
141,http://www.wikidata.org/entity/Q2452637,human
142,http://www.wikidata.org/entity/Q2483405,human
143,http://www.wikidata.org/entity/Q2484404,human
144,http://www.wikidata.org/entity/Q2966097,human
145,http://www.wikidata.org/entity/Q7407093,human
146,http://www.wikidata.org/entity/Q6176358,human
147,http://www.wikidata.org/entity/Q78906087,human
148,http://www.wikidata.org/entity/Q77971394,human
149,http://www.wikidata.org/entity/Q81254299,human
150,http://www.wikidata.org/entity/Q81940907,human
151,http://www.wikidata.org/entity/Q56331894,human
152,http://www.wikidata.org/entity/Q984401,human
153,http://www.wikidata.org/entity/Q1287494,human
154,http://www.wikidata.org/entity/Q4905738,human
155,http://www.wikidata.org/entity/Q1648159,human
156,http://www.wikidata.org/entity/Q2870056,human
157,http://www.wikidata.org/entity/Q3370608,human
158,http://www.wikidata.org/entity/Q2517793,human
159,http://www.wikidata.org/entity/Q67270436,human
160,http://www.wikidata.org/entity/Q63699742,human
161,http://www.wikidata.org/entity/Q7810343,human
162,http://www.wikidata.org/entity/Q1633135,human
163,http://www.wikidata.org/entity/Q1334295,human
164,http://www.wikidata.org/entity/Q4963455,human
165,http://www.wikidata.org/entity/Q3484521,human
166,http://www.wikidata.org/entity/Q2483662,human
167,http://www.wikidata.org/entity/Q2539282,human
168,http://www.wikidata.org/entity/Q2911185,human
169,http://www.wikidata.org/entity/Q106596551,human
170,http://www.wikidata.org/entity/Q108895135,human
171,http://www.wikidata.org/entity/Q11770720,human
172,http://www.wikidata.org/entity/Q15454793,human
173,http://www.wikidata.org/entity/Q8777371,human
174,http://www.wikidata.org/entity/Q5667511,human
175,http://www.wikidata.org/entity/Q113242547,human
176,http://www.wikidata.org/entity/Q113303883,human
177,http://www.wikidata.org/entity/Q113484914,human
178,http://www.wikidata.org/entity/Q113564429,human
179,http://www.wikidata.org/entity/Q104923190,human
180,http://www.wikidata.org/entity/Q112696449,human
181,http://www.wikidata.org/entity/Q112977972,human
182,http://www.wikidata.org/entity/Q83139879,human
183,http://www.wikidata.org/entity/Q15616452,human
184,http://www.wikidata.org/entity/Q111536197,human
185,http://www.wikidata.org/entity/Q109767652,human
186,http://www.wikidata.org/entity/Q5107684,human
187,http://www.wikidata.org/entity/Q5293462,human
188,http://www.wikidata.org/entity/Q17386470,human
189,http://www.wikidata.org/entity/Q17488954,human
190,http://www.wikidata.org/entity/Q21623286,human
191,http://www.wikidata.org/entity/Q20973967,human
192,http://www.wikidata.org/entity/Q5934662,human
193,http://www.wikidata.org/entity/Q5386013,human
194,http://www.wikidata.org/entity/Q1690964,human
195,http://www.wikidata.org/entity/Q2020790,human
196,http://www.wikidata.org/entity/Q6108767,human
197,http://www.wikidata.org/entity/Q112358071,human
198,http://www.wikidata.org/entity/Q5350651,human
199,http://www.wikidata.org/entity/Q113634404,human
200,http://www.wikidata.org/entity/Q2141920,human
201,http://www.wikidata.org/entity/Q3110308,human
202,http://www.wikidata.org/entity/Q25844174,human
203,http://www.wikidata.org/entity/Q3041219,human
204,http://www.wikidata.org/entity/Q3025396,human
205,http://www.wikidata.org/entity/Q116251236,human
206,http://www.wikidata.org/entity/Q3141581,human
207,http://www.wikidata.org/entity/Q6162127,human
208,http://www.wikidata.org/entity/Q114769556,human
209,http://www.wikidata.org/entity/Q113700358,human
210,http://www.wikidata.org/entity/Q115522481,human
211,http://www.wikidata.org/entity/Q115413639,human
212,http://www.wikidata.org/entity/Q115387347,human
213,http://www.wikidata.org/entity/Q3219308,human
214,http://www.wikidata.org/entity/Q2254708,human
215,http://www.wikidata.org/entity/Q2262244,human
216,http://www.wikidata.org/entity/Q6349276,human
217,http://www.wikidata.org/entity/Q24578739,human
218,http://www.wikidata.org/entity/Q24176186,human
219,http://www.wikidata.org/entity/Q6505720,human
220,http://www.wikidata.org/entity/Q2837716,human
221,http://www.wikidata.org/entity/Q2514219,human
222,http://www.wikidata.org/entity/Q114840646,human
223,http://www.wikidata.org/entity/Q114891460,human
224,http://www.wikidata.org/entity/Q114957633,human
225,http://www.wikidata.org/entity/Q22704388,human
226,http://www.wikidata.org/entity/Q22277410,human
227,http://www.wikidata.org/entity/Q21664913,human
228,http://www.wikidata.org/entity/Q4124233,human
229,http://www.wikidata.org/entity/Q4405678,human
230,http://www.wikidata.org/entity/Q3185288,human
231,http://www.wikidata.org/entity/Q114958534,human
232,http://www.wikidata.org/entity/Q115211177,human
233,http://www.wikidata.org/entity/Q39069932,human
234,http://www.wikidata.org/entity/Q30727979,human
235,http://www.wikidata.org/entity/Q42298455,human
236,http://www.wikidata.org/entity/Q46998095,human
237,http://www.wikidata.org/entity/Q52419629,human
238,http://www.wikidata.org/entity/Q115957839,human
239,http://www.wikidata.org/entity/Q116172763,human
240,http://www.wikidata.org/entity/Q116206551,human
241,http://www.wikidata.org/entity/Q7613212,human
