,Unnamed: 0,Unnamed: 0.1,node,rdf_type,is_wikidata,itemLabel,data_type,degree,to_keep,to_keep2
61,2602,2602,http://www.wikidata.org/entity/Q1700481,<class 'str'>,TRUE,Minneapolis Institute of Art,2,5,0,0
62,2603,2603,http://www.wikidata.org/entity/Q7521081,<class 'str'>,TRUE,Jean,0,6,0,0
63,2608,2608,http://www.wikidata.org/entity/Q2657718,<class 'str'>,TRUE,Armenian Soviet Encyclopedia,2,5,0,0
64,2613,2613,http://www.wikidata.org/entity/Q142,<class 'str'>,TRUE,France,3,5,1,1
65,2614,2614,http://www.wikidata.org/entity/Q2956777,<class 'str'>,TRUE,Chapelle Saint-Blaise-des-Simples,3,5,0,0
66,2628,2628,http://www.wikidata.org/entity/Q1976985,<class 'str'>,TRUE,The Nelson-Atkins Museum of Art,2,5,0,0
67,2633,2633,http://www.wikidata.org/entity/Q108838951,<class 'str'>,TRUE,Jill & Byron Crawford collection,2,5,0,0
68,2641,2641,http://www.wikidata.org/entity/Q56332588,<class 'str'>,TRUE,Prix Jules Davaine,0,5,0,0
69,2643,2643,http://www.wikidata.org/entity/Q2000124,<class 'str'>,TRUE,postage stamp designer,1,5,0,0
70,2652,2652,http://www.wikidata.org/entity/Q89574171,<class 'str'>,TRUE,Philadelphia Museum of Art Library and Archives,2,5,0,0
71,2666,2666,http://www.wikidata.org/prop/novalue/P26,<class 'str'>,TRUE,http://www.wikidata.org/prop/novalue/P26,2,2,0,0
72,2685,2685,http://www.wikidata.org/entity/Q139184,<class 'str'>,TRUE,BAFTA Award for Best Film,2,6,0,0
73,2690,2690,http://www.wikidata.org/entity/Q2519376,<class 'str'>,TRUE,jewelry designer,1,5,0,0
74,2693,2693,http://www.wikidata.org/entity/Q8178443,<class 'str'>,TRUE,librettist,1,5,1,0
75,2695,2695,http://www.wikidata.org/entity/Q95692443,<class 'str'>,TRUE,Cocteau,0,6,0,0
